Date,BTC-USD,CSPX.L,BNO,AMZN,IEF,highest_profitable_stock,equalWeightedPortfolio,YourPortfolio
2014-09-18,0.9280744239876884,1.0057195912426988,0.9885728605704939,1.0030864197530864,0.9993178596560245,92807.44239876884,98495.42310419984,99600.90925297301
2014-09-19,0.8632552513789443,1.007946939728749,0.9949212606014531,1.022592615198206,1.0031177523116552,86325.52513789444,97836.67638438015,99709.40747340093
2014-09-22,0.8793398150170417,0.9994500021860608,0.9812086932860458,1.0015432098765433,1.0052613443327512,87933.98150170417,97336.06129396884,99433.52581505709
2014-09-23,0.952894319942031,0.9962052332703195,0.9804469162803776,0.9988580397617671,1.0074051898433838,95289.4319942031,98716.1939819576,99965.21687250996
2014-09-24,0.9253739559950971,0.9965902485236539,0.9829862375452025,1.0129938007872783,1.00457971096785,92537.3955995097,98450.47907638163,99839.08920931592
2014-09-25,0.899941818724388,0.9887532412233854,0.9829862375452025,0.9936110885054978,1.0094514418822846,89994.1818724388,97494.87655761516,99482.1450570377
2014-09-26,0.8843098799199597,0.9858109123627914,0.98171657691279,0.9975617020218462,1.007307342882115,88430.98799199596,97134.12828199005,99250.96725841469
2014-09-29,0.8209907819479364,0.9899906104279219,0.9827323441662789,0.9932716275438852,1.0105231956445766,82099.07819479363,95950.17119461198,99005.92187912462
2014-09-30,0.8460862031769686,0.993510378250633,0.9598780653072666,0.9951851927203899,1.0096460373501623,84608.62031769686,96086.1175361084,99201.22163842314
2014-10-01,0.8388070376188423,0.979816322213123,0.953783655524128,0.9798147884415993,1.0181294026907743,83880.70376188423,95407.02412976934,99111.15421102812
2014-10-02,0.8201270379044437,0.9681020569028714,0.9466733816186038,0.9827469248830538,1.0151027376194022,82012.70379044437,94655.0427785675,98609.77256610588
2014-10-03,0.7861037703321672,0.9835560388106791,0.9319451439186045,0.9961110809702935,1.0148102106937433,78610.37703321672,94250.52489450976,98846.32877113525
2014-10-06,0.7217460308245319,0.9860308611376364,0.9400710882087205,0.9944444821204672,1.016469299713185,72174.60308245319,93175.23524009081,98522.0013866663
2014-10-07,0.7351016997887551,0.9761865380440472,0.9304214930383713,0.9783333672417538,1.0224243604120997,73510.1699788755,92849.34917050053,98495.57646023706
2014-10-08,0.7717335491091939,0.9693669511734702,0.9263585208933133,0.9959876919970103,1.026035656852228,77173.35491091938,93789.64740050431,99084.11882147132
2014-10-09,0.7981606202248096,0.9793213745313084,0.9045200092877898,0.9733641824604555,1.0242793123471037,79816.06202248095,93592.90997702934,98995.17331686028
2014-10-10,0.7905863109781507,0.961392486378659,0.9078212044271797,0.9610802921248074,1.0282812361636962,79058.63109781507,92983.23060144986,98625.92710697319
2014-10-13,0.8536736580954885,0.9519330946205198,0.8918232092258711,0.9458333710093559,1.0336498065705841,85367.36580954885,93538.26279043639,98928.69298614802
2014-10-14,0.8765365839043193,0.9469834499666051,0.857287897558429,0.9515740665388697,1.0356998609525394,87653.65839043193,93361.63717841524,99146.02153082346
2014-10-15,0.8632050042169582,0.9256448103376095,0.8458608549978199,0.9443518556194543,1.041556821200648,86320.50042169582,92412.3869274498,98829.40895276575
2014-10-16,0.8364914642216519,0.9335643089181804,0.8616048599513079,0.9347530412085265,1.0387259345483257,83649.14642216518,92102.79217695986,98515.61656475406
2014-10-17,0.8391197311129561,0.9484408518638711,0.8676992697344466,0.9371605390383876,1.0356998609525394,83911.9731112956,92562.40505404401,98706.31632433813
2014-10-20,0.83712339068116,0.9486333594905383,0.8577957811851735,0.9450925662193771,1.0371638475250298,83712.33906811601,92516.17890202558,98885.8752041721
2014-10-21,0.8450607073132176,0.9667821125001482,0.8676992697344466,0.9732406992971164,1.0343334678517813,84506.07073132176,93742.32513393421,99588.21953009343
2014-10-22,0.8378077663695145,0.9755815740158681,0.8514473811542143,0.9659567938910594,1.0340399269679748,83780.77663695144,93296.66884797261,99563.10573449623
2014-10-23,0.7837094563624084,0.9788263429316095,0.8727780091329934,0.9666049156659918,1.029745053743162,78370.94563624084,92633.2755567233,99044.53892528577
2014-10-24,0.783552041946571,0.9800913211200926,0.8676992697344466,0.8859876467857832,1.030623732974798,78355.2041946571,90959.08025123383,97881.80428189281
2014-10-27,0.771840716363045,0.981136182697962,0.8585576550597386,0.8949691395700716,1.0316975991498978,77184.07163630449,90764.0258568143,98005.09699969486
2014-10-28,0.7819624165908788,0.9883957510361135,0.8641441812161329,0.9123148035120083,1.0291597464023077,78196.24165908789,91519.53797514882,98350.81867200045
2014-10-29,0.7337984765834545,0.9925204828870038,0.8773488649047958,0.9077777627073691,1.0257430454300571,73379.84765834546,90743.77265025361,97850.80899681871
2014-10-30,0.7550389462215903,0.9960677757757773,0.8651599484696215,0.9230555781611692,1.0268170805981813,75503.89462215903,91322.7865845268,98347.95414285701
2014-10-31,0.7397678794649992,1.0091294266369302,0.8651599484696215,0.9427777514045623,1.0251574001031534,73976.78794649993,91639.84812158532,98708.95218979048
2014-11-03,0.7162248486429363,1.0110817762160105,0.8468765253824116,0.9435802506811827,1.0247760673430444,71622.48486429364,90850.7893653117,98547.78276011594
2014-11-04,0.7226490784250097,1.0046746457469455,0.83087862705,0.9345987578968943,1.024678051388751,72264.90784250096,90349.58321015202,98300.30062503596
2014-11-05,0.7423152037168753,1.0120167053653994,0.8382426974655511,0.9151851512767653,1.0249715922725577,74231.52037168753,90654.62700194298,98316.2314136611
2014-11-06,0.7637525247864312,1.0162788947108325,0.8329100646880806,0.9155556007667826,1.0218426864212755,76375.25247864312,91006.79542746805,98374.43299578657
