Date,BTC-USD,CSPX.L,BNO,AMZN
2014-09-18,23610.21334624679,37885.45700211247,326.22904398826296,36672.83950617284
2014-09-19,21961.213595080342,37969.36121958197,328.3240159984795,37385.98601164641
2014-09-22,22370.40489403354,37649.281582348915,323.7988687843951,36616.419753086426
2014-09-23,24241.631499325267,37527.05113729294,323.5474823725246,36518.249933690204
2014-09-24,23541.51344051527,37541.55466188604,324.38545838991683,37035.0533567829
2014-09-25,22894.51986834843,37246.334596884924,324.38545838991683,36326.421395761005
2014-09-26,22496.843345163776,37135.497068706354,323.9664703812207,36470.8558259187
2014-09-29,20886.005492755503,37292.94629481982,324.30167357487204,36314.010703004446
2014-09-30,21524.43300882208,37425.53594870135,316.75976155139796,36383.97064585745
2014-10-01,21339.25103702335,36909.68085776834,314.74860632296225,35822.02866542487
2014-10-02,20864.03184428905,36468.404483531165,312.40221593413924,35929.22757372445
2014-10-03,19998.479917250334,37050.55598199828,307.54189749313946,36417.82112027393
2014-10-06,23448.58612943612,34721.23582923973,304.1679804525912,33698.12534953556
2014-10-07,23882.494375063812,34374.586371110825,301.0457720239255,33152.17796035001
2014-10-08,25072.61532784487,34134.44735181268,299.73116289755376,33750.41914853126
2014-10-09,25931.196361529695,34484.97378518701,292.6651270897726,32983.79026786854
2014-10-10,25685.11694417791,33853.641462600295,293.7332567995603,32567.53367058926
2014-10-13,27734.742476400854,33520.546642772264,288.55696965201656,32050.870681170887
2014-10-14,28477.529082912326,33346.254147402266,277.38277640647937,32245.40208139001
2014-10-15,28044.40346643557,32594.8537926723,273.685459786702,32000.667485101345
2014-10-16,27176.515432903227,32873.72414927359,278.77956623354845,31675.39839563277
2014-10-17,27261.90439237071,33397.57383420656,280.75146425172926,31756.979786155847
2014-10-20,27197.04589844152,33404.35263086281,277.5471064651201,32025.767487256016
2014-10-21,27454.91895175195,34043.42708389388,280.75146425172926,32979.605870256026
2014-10-22,27219.28037094003,34353.283692342346,275.49302774624203,32732.7806710412
2014-10-23,25461.696917090787,34467.542171640715,282.39473349538247,32754.743172926537
2014-10-24,25456.58272826239,34512.08601680038,280.75146425172926,30022.9156240726
2014-10-27,25076.09705199001,34548.87886648082,277.7936172244581,30327.265917238827
2014-10-28,25404.937876092023,34804.511011702554,279.6011851839982,30915.047707268906
2014-10-29,23840.15435479317,34949.75574284809,283.8736726803949,30761.303810551126
2014-10-30,24530.229478823305,35074.66703903651,279.92984530127956,31279.013697312672
2014-10-31,24034.092459931475,35534.608687664055,279.92984530127956,31947.326788762464
2014-11-03,23269.210129579842,35603.35703300301,274.0140885612295,31974.520585603495
2014-11-04,23477.924966831033,35377.741895817104,268.83783275643964,31670.170292437266
2014-11-05,24116.851698733914,35636.27881746127,271.2205402498452,31012.313407378464
2014-11-06,24813.32226873427,35786.363857640354,269.4951216482486,31024.86660021599
2014-11-07,24324.92699138808,35914.17993025122,270.39892129939557,31361.635601658538
2014-11-10,26066.029706164234,35967.43810467822,267.60537298801125,31910.72049111343
2014-11-11,26120.800739042763,36013.914527437366,264.5653452600429,32632.37747066229
2014-11-12,25168.71216013021,37268.29351698525,326.4809360394248,36170.130368489
2014-11-13,25000.785308467108,37301.368758203076,315.16621780452584,36747.20842841919
2014-11-14,23639.01882471069,37292.348237870945,322.3664983956033,38063.92099964056
2014-11-17,23020.43877865323,37217.17417626277,320.4121331575932,37510.06326506773
2014-11-18,22294.900409811497,37465.750841162975,317.42917322301736,37728.35487552315
2014-11-19,22613.222102275427,37364.5154593684,316.091968726784,37915.297452186955
2014-11-20,21263.458553965567,37548.94212345289,320.7207233380746,38379.74648091259
2014-11-21,20847.98181247836,37801.52892811419,325.9666386911419,38622.42067320595
2014-11-24,22396.095727783995,37801.52892811419,322.26363500210937,38971.91970123075
2014-11-25,22303.81330114249,37780.47798849883,315.98910533329,38902.25163822892
2014-11-26,21889.168913087822,37849.638369885564,313.7261695339848,38731.566478433655
2014-11-27,21966.418202570843,37927.81927160446,287.7023195556357,39320.25647277497
2014-11-28,22369.117684176428,37937.843091586954,287.7023195556357,39320.25647277497
2014-12-01,22535.37982897445,37595.04802476395,294.2854394049364,37852.59584113884
2014-12-02,22658.3831695607,37747.40274728101,286.77656863337756,37888.590357387875
2014-12-03,22283.729827797477,37895.7442711966,282.9707211700375,36749.529397915474
2014-12-04,21962.495805022743,37755.41996796277,281.3249461125088,36799.45681807191
2014-12-05,22393.3030822805,37970.918332804766,278.5476933457344,36300.175529577806
2014-12-08,21505.2454389779,37963.90441177337,267.95299924610595,35604.664242969935
2014-12-09,20929.449084715387,37410.62136067943,270.2159546645975,36285.08036918985
2014-12-10,20581.594259348793,37392.58032001518,261.36989901599145,35511.77231114588
2014-12-11,20827.660782924933,37572.996844338595,256.94687119168844,35688.26166641427
2014-12-12,20948.642175630393,36847.317548443374,248.92372269103294,35683.61972742173
2014-12-15,23587.04023205659,34926.25021782907,305.9639652743189,33897.09869827
2014-12-16,22338.31328532068,35394.44549989519,303.37980033773874,32677.745678491832
2014-12-17,21840.67924429009,34932.977701108786,306.9976263200664,33100.80955995211
2014-12-18,21268.32547742781,35815.533729393,300.6664493343104,32973.44831684198
2014-12-19,21708.654524531525,36326.989692209,314.10404292902706,33213.77282796341
2014-12-22,22667.790424956565,36411.59226868261,303.25058962646733,33949.15109603925
2014-12-23,22851.244360157314,36590.41188421493,311.5199026368701,33921.46372232808
2014-12-24,22029.050157655227,36625.02042881483,304.6718828060288,33560.41928759633
2014-12-25,21788.224529374886,36757.692384291906,300.6664493343104,34231.560955970686
2014-12-26,22397.18779368494,36757.692384291906,300.6664493343104,34231.560955970686
2014-12-29,21355.34077519325,36757.692384291906,292.6555577464504,34558.273317685096
2014-12-30,21223.31605543468,36643.28702754992,290.3298142324128,34365.56689838699
2014-12-31,21869.15978250043,36639.44065573146,293.3016113028071,34371.10640101305
2015-01-01,21463.18496774323,36078.95298747687,284.51548009174235,34168.432932755684
2015-01-02,21516.66518213147,36078.95298747687,284.51548009174235,34168.432932755684
2015-01-05,18746.55557409345,35646.32857644576,267.46006051469806,33467.39011750355
2015-01-06,19546.68903183425,35320.41971244181,257.3818468353431,32703.219279036417
2015-01-07,20103.197581229102,35479.0480763688,258.0278757472765,33049.86573866934
2015-01-08,19352.717473989378,36183.74388163377,258.54471859236196,33275.79227469194
2015-01-09,19834.846046361687,35874.17696349462,254.02244227555818,32884.84669308242
2015-01-12,18290.44800867502,35734.77752473784,241.36008830404634,32273.510698269973
2015-01-13,21464.099103527893,31782.728507464453,278.42581384293266,30846.205315447314
2015-01-14,16925.544926352373,31011.713826378334,286.6943873530041,30692.36138191217
2015-01-15,19941.966242257266,30987.990417067573,277.52376574480525,30030.9401000173
2015-01-16,19775.945309010556,31040.520638708706,288.19777217520266,30427.582714680873
2015-01-19,20418.743340246783,31268.436021499554,277.974789793869,30291.531646966567
2015-01-20,20081.759606353273,31194.724092057477,277.974789793869,30291.531646966567
2015-01-21,21562.55363081578,31504.8246045423,281.883578861713,31108.89201945609
2015-01-22,22181.119400865664,31738.671486075255,281.5828961623372,32476.74213398131
2015-01-23,22131.036590928856,31936.93196081322,280.981559438266,32693.38009639882
2015-01-26,25988.778929974495,31765.78469261831,277.52376574480525,32407.669021594415
2015-01-27,25038.64691916689,31417.556071828694,283.83795905829476,32103.120696276394
2015-01-28,22229.48966813829,31400.60967132485,279.02715056700373,31805.899032992656
2015-01-29,22191.287351044513,30972.740208008738,283.23662233422357,32629.538488986713
2015-01-30,21517.69835373619,31120.16406689289,301.1268415015575,37103.56753467805
2015-02-02,22639.460201283327,31093.053446007518,315.8599496748065,38143.84495308961
2015-02-03,21597.81083855229,31528.54801385304,331.79575997087807,38047.56034962506
2015-02-04,21558.37160453002,31816.618722814437,315.8599496748064,38173.148407389774
2015-02-05,20632.56611000883,31908.970658547645,326.53392743052314,39129.70258318285
2015-02-06,21122.459167691384,32086.052011142365,333.2991447930766,39170.51662596235
2015-02-09,20917.56888125816,31865.761732880943,334.95287096496304,38781.19747949608
2015-02-10,20891.81548776469,31909.818754270156,328.3379949520976,39036.55752147056
2015-02-11,20829.663674784737,32075.88261944545,318.8666906445229,39260.52214592236
2015-02-12,21074.753036354567,32265.67247958919,334.8025296152751,39472.97298805784
2015-02-13,22373.17939306295,32495.28146816734,346.5288681441268,39960.665507374215
2015-02-16,22222.648197952356,32525.784471942712,351.6403593347938,39290.8699849153
2015-02-17,23150.828920995078,32508.838071438873,351.6403593347938,39290.8699849153
2015-02-18,22458.61366583632,32538.49297949174,339.6133381065662,39075.27960102755
2015-02-19,22834.65671319494,32613.05300465632,340.36501618032526,39664.49142262022
2015-02-20,23166.889990045398,32536.796788046755,339.763679456254,40152.187135773565
2015-02-23,22702.466110477664,32750.310057501243,333.1488034433886,39783.80039688041
2015-02-24,22687.546253177316,32845.203694744276,331.6454186211901,39621.582222781224
2015-02-25,22567.33039840312,32838.42410027966,348.4832770153891,40331.14740332686
2015-02-26,22468.116030000885,32804.53388492969,342.7704204259707,40271.492916196774
2015-02-27,24121.869613153034,32774.033466812005,350.88868126103455,39785.892360102924
2015-03-02,26197.567027314835,32807.923682162,338.71131868311915,40361.49843615678
2015-03-03,26770.80044447096,32680.833435356304,344.8751706469209,40251.6080871534
2015-03-04,25952.573370923517,32552.049582763288,341.11672292876466,40053.81056908648
2015-03-05,26245.84303948739,32614.746610443643,341.8684010025237,40588.599408523856
2015-03-06,25917.504673387128,32314.812903998027,336.7569098118569,39778.56569806863
2015-03-09,27522.030992895317,32245.336281853066,330.89374054743104,39618.442681028944
2015-03-10,27726.63706394991,31848.815332377122,319.16737334389876,38671.31032432968
2015-03-11,28165.590315324345,31769.171904192935,325.3312253077005,38342.69004968626
2015-03-12,27973.150402569885,31992.851979686653,320.6707581660973,39166.32950568032
2015-03-13,27116.243936114515,31825.091923066353,306.5389867169197,38783.28944271859
2015-03-16,27615.732162983237,32211.446066503075,302.32954362438016,39073.187637805015
2015-03-17,27132.209299986305,32157.222239074636,298.8717499309194,38923.53082455188
2015-03-18,24356.695319365488,32102.995825988524,316.7619690982533,39260.52214592236
2015-03-19,24796.5998222113,32448.682745268325,303.0812216981393,39061.67385548871
2015-03-20,24874.61984380606,32782.50666706392,307.7416888397424,39611.11601899467
