Date,BTC-USD,CSPX.L,IEF,FILL,PALL
2014-09-17,457.3340148925781,181.8300018310547,90.40234375,20.90553092956543,81.01000213623047
2014-09-18,424.44000244140625,182.8699951171875,90.34069061279297,20.529335021972656,80.45999908447266
2014-09-19,394.7959899902344,183.27499389648438,90.68418884277344,20.537015914916992,78.87000274658203
2014-09-20,408.90399169921875,183.27499389648438,90.68418884277344,20.537015914916992,78.87000274658203
2014-09-21,398.8210144042969,183.27499389648438,90.68418884277344,20.537015914916992,78.87000274658203
2014-09-22,402.1520080566406,181.72999572753906,90.87797546386719,20.337404251098633,77.9000015258789
2014-09-23,435.7909851074219,181.13999938964844,91.07173156738281,20.24527359008789,79.19999694824219
2014-09-24,423.2049865722656,181.2100067138672,90.81632232666016,20.24527359008789,79.2699966430664
2014-09-25,411.5740051269531,179.78500366210938,91.25675201416016,19.79231071472168,77.8499984741211
2014-09-26,404.42498779296875,179.25,91.0629653930664,20.037988662719727,75.6500015258789
2014-09-27,399.5199890136719,179.25,91.0629653930664,20.037988662719727,75.6500015258789
2014-09-28,377.1809997558594,179.25,91.0629653930664,20.037988662719727,75.6500015258789
2014-09-29,375.4670104980469,180.00999450683594,91.35366821289062,19.846050262451172,76.98999786376953
2014-09-30,386.9440002441406,180.64999389648438,91.2743911743164,19.915151596069336,75.18000030517578
2014-10-01,383.614990234375,178.16000366210938,92.04122161865234,19.416118621826172,75.5999984741211
2014-10-02,375.0719909667969,176.02999877929688,91.76771545410156,19.24721336364746,74.55000305175781
2014-10-03,359.5119934082031,178.83999633789062,91.7412109375,19.10902214050293,73.58999633789062
2014-10-04,328.8659973144531,178.83999633789062,91.7412109375,19.10902214050293,73.58999633789062
2014-10-05,320.510009765625,178.83999633789062,91.7412109375,19.10902214050293,73.58999633789062
2014-10-06,330.0790100097656,179.2899932861328,91.89122009277344,19.10902214050293,74.26000213623047
2014-10-07,336.18701171875,177.5,92.42955017089844,18.9708251953125,76.20999908447266
2014-10-08,352.94000244140625,176.25999450683594,92.75605010986328,18.92476463317871,77.5999984741211
2014-10-09,365.0260009765625,178.07000732421875,92.59722137451172,18.62534523010254,77.3499984741211
2014-10-10,361.56201171875,174.80999755859375,92.95903778076172,18.62534523010254,76.20999908447266
2014-10-11,362.29901123046875,174.80999755859375,92.95903778076172,18.62534523010254,76.20999908447266
2014-10-12,378.54901123046875,174.80999755859375,92.95903778076172,18.62534523010254,76.20999908447266
2014-10-13,390.41400146484375,173.08999633789062,93.44434356689453,18.24147605895996,76.2699966430664
2014-10-14,400.8699951171875,172.19000244140625,93.62964630126953,17.811542510986328,76.94999694824219
2014-10-15,394.77301025390625,168.30999755859375,94.15914916992188,17.581220626831055,74.30000305175781
2014-10-16,382.5559997558594,169.75,93.90321350097656,17.903671264648438,72.16000366210938
2014-10-17,383.75799560546875,172.4550018310547,93.62964630126953,18.064895629882812,73.27999877929688
2014-10-18,391.4419860839844,172.4550018310547,93.62964630126953,18.064895629882812,73.27999877929688
2014-10-19,389.5459899902344,172.4550018310547,93.62964630126953,18.064895629882812,73.27999877929688
2014-10-20,382.8450012207031,172.49000549316406,93.76205444335938,18.080249786376953,74.22000122070312
2014-10-21,386.4750061035156,175.7899932861328,93.50611877441406,18.571605682373047,75.36000061035156
2014-10-22,383.1579895019531,177.38999938964844,93.47967529296875,18.34895896911621,74.69999694824219
2014-10-23,358.4169921875,177.97999572753906,93.09137725830078,18.563926696777344,75.75
2014-10-24,358.3450012207031,178.2100067138672,93.17081451416016,18.494829177856445,75.91000366210938
2014-10-25,347.27099609375,178.2100067138672,93.17081451416016,18.494829177856445,75.91000366210938
2014-10-26,354.7040100097656,178.2100067138672,93.17081451416016,18.494829177856445,75.91000366210938
2014-10-27,352.989013671875,178.39999389648438,93.26787567138672,18.195411682128906,76.19999694824219
2014-10-28,357.6180114746094,179.72000122070312,93.0384521484375,18.41037940979004,77.16999816894531
2014-10-29,335.59100341796875,180.47000122070312,92.72956085205078,18.540895462036133,77.20999908447266
2014-10-30,345.30499267578125,181.11500549316406,92.82666015625,18.494829177856445,75.70999908447266
2014-10-31,338.3210144042969,183.49000549316406,92.67662048339844,18.778892517089844,77.08999633789062
2014-11-01,325.7489929199219,183.49000549316406,92.67662048339844,18.778892517089844,77.08999633789062
2014-11-02,325.8919982910156,183.49000549316406,92.67662048339844,18.778892517089844,77.08999633789062
2014-11-03,327.5539855957031,183.84500122070312,92.64212799072266,18.494829177856445,78.08999633789062
2014-11-04,330.49200439453125,182.67999267578125,92.63333129882812,18.087926864624023,76.33999633789062
2014-11-05,339.4859924316406,184.01499938964844,92.65980529785156,18.325927734375,73.41999816894531
2014-11-06,349.2900085449219,184.7899932861328,92.37696075439453,18.28754425048828,72.91000366210938
2014-11-07,342.4150085449219,185.4499969482422,92.9692153930664,18.709796905517578,75.25
2014-11-08,345.4880065917969,185.4499969482422,92.9692153930664,18.709796905517578,75.25
2014-11-09,363.2640075683594,185.4499969482422,92.9692153930664,18.709796905517578,75.25
2014-11-10,366.92401123046875,185.72500610351562,92.589111328125,18.63302230834961,74.05999755859375
2014-11-11,367.69500732421875,185.96499633789062,92.59794616699219,18.62534523010254,75.01000213623047
2014-11-12,423.5610046386719,185.91000366210938,92.56256866455078,18.563926696777344,75.30000305175781
2014-11-13,420.7349853515625,186.0749969482422,92.71287536621094,18.264503479003906,74.63999938964844
2014-11-14,397.8179931640625,186.02999877929688,92.90731811523438,18.40270233154297,74.36000061035156
2014-11-15,376.13299560546875,186.02999877929688,92.90731811523438,18.40270233154297,74.36000061035156
